kW,kVAr
167.5239048,68.23909518
223.939183,78.92681696
220.1684989,77.37350106
170.4074899,61.90951009
135.7964474,51.84955263
139.3812562,48.86174376
217.8538462,65.35615385
182.9384034,59.17659658
153.2581045,56.29889552
197.9794934,64.62050663
155.7448529,56.06814706
178.7011203,78.14387972
180.9410959,83.23290411
159.0120755,67.88592453
159.6527174,66.31728261
160.8529024,69.19709763
170.079,72.891
130.5503927,65.86860725
122.8452615,63.93873851
124.7551887,64.15981132
137.3053602,69.84663977
160.2570157,70.75498429
116.7232278,50.93377215
164.2140934,61.34790659
125.9472689,54.62773109
111.2045091,54.09949091
117.5569474,54.25705263
122.7302817,51.54671831
134.4256774,54.99232258
116.5175258,57.36247423
129.9495455,55.03745455
183.417531,67.14946898
184.9902645,63.96273552
157.637907,66.11609302
