kW,kVAr
130.1932367,58.84057971
201.2077295,93.33333333
148.7922705,73.04347826
125.1207729,64.92753623
175.8454106,66.95652174
192.7536232,79.13043478
155.5555556,68.98550725
131.884058,64.92753623
155.5555556,77.10144928
125.1207729,68.98550725
143.7198068,79.13043478
169.0821256,77.10144928
179.2270531,66.95652174
179.2270531,66.95652174
199.5169082,71.01449275
191.0628019,71.01449275
120.0483092,56.8115942
142.0289855,60.86956522
121.7391304,56.8115942
104.8309179,52.75362319
114.9758454,56.8115942
152.173913,64.92753623
169.0821256,68.98550725
162.3188406,54.7826087
184.2995169,64.92753623
170.7729469,60.86956522
164.0096618,62.89855072
194.4444444,75.07246377
184.2995169,75.07246377
241.7874396,85.2173913
236.7149758,83.1884058
184.2995169,66.95652174
148.7922705,56.8115942
150.4830918,52.75362319
229.9516908,68.98550725
194.4444444,62.89855072
165.7004831,60.86956522
211.352657,68.98550725
169.0821256,60.86956522
199.5169082,87.24637681
202.8985507,93.33333333
175.8454106,75.07246377
175.8454106,73.04347826
179.2270531,77.10144928
189.3719807,81.15942029
148.7922705,75.07246377
140.3381643,73.04347826
142.0289855,73.04347826
155.5555556,79.13043478
179.2270531,79.13043478
130.1932367,56.8115942
179.2270531,66.95652174
140.3381643,60.86956522
125.1207729,60.86956522
131.884058,60.86956522
135.2657005,56.8115942
148.7922705,60.86956522
131.884058,64.92753623
143.7198068,60.86956522
199.5169082,73.04347826
199.5169082,68.98550725
174.1545894,73.04347826
196.1352657,81.15942029
131.884058,58.84057971
142.0289855,60.86956522
118.3574879,58.84057971
130.1932367,58.84057971
148.7922705,66.95652174
121.7391304,56.8115942
111.5942029,54.7826087
164.0096618,64.92753623
175.8454106,56.8115942
158.9371981,52.75362319
189.3719807,60.86956522
213.0434783,77.10144928
201.2077295,73.04347826
224.8792271,81.15942029
214.7342995,83.1884058
192.7536232,75.07246377
213.0434783,79.13043478
169.0821256,66.95652174
160.6280193,56.8115942
224.8792271,71.01449275
209.6618357,66.95652174
223.1884058,73.04347826
196.1352657,66.95652174
216.4251208,83.1884058
214.7342995,85.2173913
180.9178744,75.07246377
182.6086957,75.07246377
182.6086957,77.10144928
184.2995169,73.04347826
130.1932367,56.8115942
114.9758454,56.8115942
118.3574879,54.7826087
128.5024155,58.84057971
143.7198068,81.15942029
189.3719807,99.42028986
196.1352657,99.42028986
236.7149758,105.5072464
224.8792271,101.4492754
221.4975845,105.5072464
219.8067633,111.5942029
214.7342995,107.5362319
202.8985507,99.42028986
206.2801932,101.4492754
214.7342995,103.4782609
194.4444444,93.33333333
221.4975845,105.5072464
233.3333333,97.39130435
257.0048309,99.42028986
267.1497585,105.5072464
223.1884058,83.1884058
180.9178744,68.98550725
125.1207729,58.84057971
103.1400966,54.7826087
118.3574879,56.8115942
130.1932367,56.8115942
172.4637681,73.04347826
169.0821256,54.7826087
202.8985507,60.86956522
202.8985507,64.92753623
204.589372,85.2173913
221.4975845,77.10144928
233.3333333,79.13043478
216.4251208,75.07246377
216.4251208,81.15942029
231.6425121,83.1884058
170.7729469,62.89855072
174.1545894,68.98550725
245.1690821,83.1884058
221.4975845,79.13043478
255.3140097,91.30434783
267.1497585,99.42028986
204.589372,91.30434783
213.0434783,89.27536232
162.3188406,60.86956522
162.3188406,56.8115942
142.0289855,52.75362319
153.8647343,58.84057971
125.1207729,48.69565217
130.1932367,56.8115942
136.9565217,68.98550725
164.0096618,83.1884058
184.2995169,97.39130435
191.0628019,103.4782609
194.4444444,123.7681159
238.4057971,119.7101449
243.4782609,109.5652174
221.4975845,101.4492754
191.0628019,99.42028986
224.8792271,111.5942029
194.4444444,97.39130435
204.589372,95.36231884
180.9178744,87.24637681
175.8454106,93.33333333
236.7149758,107.5362319
257.0048309,113.6231884
260.3864734,113.6231884
248.5507246,107.5362319
170.7729469,68.98550725
128.5024155,54.7826087
128.5024155,64.92753623
143.7198068,68.98550725
164.0096618,79.13043478
150.4830918,73.04347826
189.3719807,77.10144928
240.0966184,77.10144928
170.7729469,60.86956522
189.3719807,56.8115942
165.7004831,58.84057971
231.6425121,81.15942029
223.1884058,79.13043478
194.4444444,62.89855072
214.7342995,66.95652174
189.3719807,62.89855072
148.7922705,54.7826087
182.6086957,71.01449275
250.2415459,87.24637681
240.0966184,85.2173913
224.8792271,83.1884058
184.2995169,75.07246377
209.6618357,91.30434783
211.352657,93.33333333
213.0434783,93.33333333
192.7536232,81.15942029
185.9903382,73.04347826
184.2995169,75.07246377
165.7004831,73.04347826
164.0096618,73.04347826
142.0289855,64.92753623
160.6280193,73.04347826
170.7729469,91.30434783
192.7536232,97.39130435
189.3719807,99.42028986
246.8599034,103.4782609
216.4251208,107.5362319
231.6425121,109.5652174
241.7874396,107.5362319
245.1690821,105.5072464
206.2801932,95.36231884
209.6618357,91.30434783
211.352657,91.30434783
260.3864734,105.5072464
250.2415459,105.5072464
251.9323671,101.4492754
251.9323671,101.4492754
235.0241546,87.24637681
213.0434783,73.04347826
180.9178744,66.95652174
152.173913,64.92753623
165.7004831,77.10144928
145.410628,75.07246377
158.9371981,75.07246377
194.4444444,79.13043478
201.2077295,71.01449275
224.8792271,79.13043478
251.9323671,81.15942029
206.2801932,64.92753623
235.0241546,73.04347826
253.6231884,97.39130435
278.9855072,103.4782609
216.4251208,83.1884058
164.0096618,60.86956522
148.7922705,52.75362319
179.2270531,71.01449275
258.6956522,85.2173913
243.4782609,75.07246377
211.352657,64.92753623
191.0628019,62.89855072
189.3719807,60.86956522
209.6618357,64.92753623
185.9903382,62.89855072
172.4637681,58.84057971
160.6280193,58.84057971
162.3188406,54.7826087
131.884058,52.75362319
116.6666667,54.7826087
130.1932367,58.84057971
143.7198068,60.86956522
184.2995169,87.24637681
202.8985507,95.36231884
201.2077295,99.42028986
236.7149758,107.5362319
194.4444444,95.36231884
216.4251208,97.39130435
209.6618357,107.5362319
226.5700483,105.5072464
243.4782609,119.7101449
262.0772947,121.7391304
260.3864734,125.7971014
267.1497585,125.7971014
243.4782609,119.7101449
250.2415459,127.826087
285.7487923,140
312.8019324,125.7971014
263.7681159,99.42028986
277.294686,109.5652174
229.9516908,99.42028986
194.4444444,89.27536232
164.0096618,71.01449275
162.3188406,77.10144928
201.2077295,66.95652174
194.4444444,52.75362319
131.884058,40.57971014
174.1545894,50.72463768
158.9371981,44.63768116
184.2995169,52.75362319
196.1352657,54.7826087
189.3719807,52.75362319
196.1352657,54.7826087
185.9903382,58.84057971
152.173913,54.7826087
182.6086957,71.01449275
229.9516908,83.1884058
213.0434783,71.01449275
175.8454106,64.92753623
243.4782609,83.1884058
223.1884058,81.15942029
253.6231884,97.39130435
231.6425121,95.36231884
224.8792271,89.27536232
184.2995169,71.01449275
263.7681159,71.01449275
154.2028986,71.01449275
152.173913,71.01449275
131.884058,54.7826087
153.8647343,68.98550725
180.9178744,95.36231884
196.1352657,105.5072464
214.7342995,111.5942029
251.9323671,117.6811594
182.6086957,85.2173913
185.9903382,68.98550725
197.826087,68.98550725
263.7681159,111.5942029
277.294686,117.6811594
275.6038647,123.7681159
251.9323671,121.7391304
243.4782609,117.6811594
277.294686,131.884058
282.3671498,135.942029
312.8019324,146.0869565
284.057971,121.7391304
231.6425121,87.24637681
224.8792271,73.04347826
174.1545894,66.95652174
133.5748792,58.84057971
138.647343,56.8115942
155.5555556,62.89855072
150.4830918,60.86956522
192.7536232,62.89855072
199.5169082,73.04347826
211.352657,77.10144928
213.0434783,77.10144928
243.4782609,83.1884058
211.352657,64.92753623
179.2270531,56.8115942
189.3719807,60.86956522
194.4444444,62.89855072
162.3188406,54.7826087
202.8985507,77.10144928
280.6763285,105.5072464
270.531401,101.4492754
229.9516908,85.2173913
246.8599034,83.1884058
243.4782609,81.15942029
194.4444444,75.07246377
182.6086957,71.01449275
170.7729469,68.98550725
165.7004831,62.89855072
142.0289855,50.72463768
125.1207729,52.75362319
121.7391304,58.84057971
118.3574879,54.7826087
143.7198068,64.92753623
170.7729469,62.89855072
150.4830918,60.86956522
135.2657005,77.10144928
165.7004831,68.98550725
130.1932367,56.8115942
155.5555556,62.89855072
191.0628019,68.98550725
150.4830918,62.89855072
138.647343,60.86956522
108.2125604,54.7826087
104.8309179,54.7826087
174.1545894,68.98550725
172.4637681,68.98550725
174.1545894,79.13043478
196.1352657,85.2173913
218.115942,93.33333333
204.589372,89.27536232
182.6086957,87.24637681
140.3381643,75.07246377
150.4830918,77.10144928
148.7922705,77.10144928
147.1014493,77.10144928
114.9758454,56.8115942
204.589372,73.04347826
175.8454106,58.84057971
148.7922705,52.75362319
202.8985507,62.89855072
164.0096618,54.7826087
182.6086957,56.8115942
196.1352657,62.89855072
211.352657,64.92753623
223.1884058,66.95652174
160.6280193,56.8115942
148.7922705,54.7826087
191.0628019,64.92753623
206.2801932,66.95652174
